title,author,year,doi,abstract
Moving towards agile cybersecurity incident response: {A} case study exploring the enabling role of big data analytics-embedded dynamic capabilities,"Naseer, Ayesha and Naseer, Humza and Ahmad, Atif and Maynard, Sean B and Siddiqui, Adil Masood",2023,10.1016/j.cose.2023.103525,"Organizations are at risk of cyber-attacks more than ever before due to the ongoing digitalization of business operations. Industry reports indicate that it is not a matter of if but when organizations become victims of cyberattacks or breaches. In this research, we argue that organizations must enable agility in their incident response (IR) to quickly respond to diverse cybersecurity threats, and big data analytics (BDA) plays a pivotal role in enabling agility in the IR. Drawing from dynamic capabilities theory, we conducted a field study using a case study approach to examine the following research question: What dimensions of big data analytics-embedded dynamic capabilities enable agility in cybersecurity incident response? We develop a framework that presents five key dimensions of BDA-embedded dynamic capabilities (data consolidation, threat intelligence, incident investigation, analytical skillset, and cybersecurity analytics warehouse) in IR at four specific stages, that is, manual analysis, basic analytics, advanced analytics, and pervasive analytics. The detail of the framework explains how BDA-embedded dynamic capabilities at the pervasive analytics stage enable agility in IR by infusing agile characteristics of flexibility, speed, and learning in IR. This study contributes to the knowledge of IT-embedded dynamic capabilities and cybersecurity IR agility. Detailed recommendations are also provided for potential practitioners."
Research on the application of network security defence in database security services based on deep learning integrated with big data analytics,"Hang, Feilu and Xie, Linjiang and Zhang, Zhenhong and Guo, Wei and Li, Hanruo",2024,10.1016/j.ijin.2024.02.006,"Every day, more people use the internet to send and receive sensitive information. A lot of confidential data is being transmitted electronically between people and businesses. Cyber-attacks, which are the inevitable result of our growing reliance on digital technology, are a reality that we must face today. This paper aims to investigate the impact of Big Data Analytics (BDA) on information security and vice versa. Additionally, an Artificial Neural Network (ANN)-based Deep Learning (DL) method for Anomaly Detection (AD) is presented in this work. To improve AD, the proposed method uses a DL-based detection method, which is used to parse through many collected security events to develop individual event profiles. The paper also investigated how BDA can be used to address Information Security (IS) issues and how existing Big Data technologies can be adapted to improve BDA’s security. This study developed a DL-based Security Information System (DL-SIS) using a combination of event identification for data preprocessing and different Artificial Neural Network (ANN) methods. The feasibility and impact of implementing a Big Data Analytics (BDA) system for AD are investigated and addressed in this study. From this study, we learn that BDA systems are highly effective in securing Critical Information Setup from several discrete cyberattacks and that they are currently the best method available. By analyzing the False Positive Rate (FPR), the system facilitates quick action by security analysts in response to cyber threats. DL-SIS had the highest AD accuracy of 99.40\% but performed poorly in the high-dimensional dataset."
{CyberAIBot}: {Artificial} {Intelligence} in an intrusion detection system for {CyberSecurity} in the {IoT},"Serrano, Will",2025,10.1016/j.future.2024.107543,"The cyber ecosystem presents two interesting properties. Attackers and defenders are normally the same entity; a detailed knowledge of defensive strategies optimises an attack whereas a good defence, based on a layered structure also includes attacks. In addition, Artificial Intelligence (AI) provides new techniques and tools to both attackers and defenders such as Generative Adversarial Networks (GANs) based on Generators and Discriminators for impersonation or Deep Learning (DL) for exhaustive scanning. To address this dilemma, this article presents CyberAIBot: Artificial Intelligence in an Intrusion Detection System for CyberSecurity in the Internet of Things (IoT) aimed at Operational Technology (OT) and Information Technology (IT) network traffic. CyberAIBot is based on a Deep Learning management structure in a private or local edge cloud computing approach where AI makes decisions as close as possible to the source of data. CyberAIBot gradually detects, learns, and adapts to different cyber attacks. In detail, CyberAIBot uses Deep Learning (DL) technical clusters trained in specific attacks and a Deep Learning (DL) management cluster specialises in taking management decisions rather than technical evaluations. This management cluster supervises conflicting classifications from the deep learning technical clusters. CyberAIbot is trained against several datasets and its performance is evaluated between two classification algorithms, the Long Short-Term Memory (LSTM) networks and Support Vector Machines (SVMs). The SVM DL clusters learn faster (average 15x) although the LSTM DL clusters perform better (average 30\%). The LSTM DL management cluster performs better than the SVM DL management cluster although it recognises fewer traffic types. The total number of data points analysed by CyberAIBot is 5.52E+08, equivalent to the distance between the planet Earth to the Moon in meters."
A {Blockchain}-based {Intrusion} {Detection}/{Prevention} {Systems} in {IoT} {Network}: {A} {Systematic} {Review},"Shalabi, Khawla and Al-Haija, Qasem Abu and Al-Fayoumi, Mustafa",2024,10.1016/j.procs.2024.05.048,"The Internet of Things (IoT) is an innovative technology used in manufacturing, environmental monitoring, home automation, human health applications, and other fields. IoT devices, however, are susceptible to various security risks. Cyber-attacks on IoT systems can halt the entire system, resulting in data loss. Intrusion Detection Systems (IDS) can quickly identify malicious activity that could have compromised the network's performance. Effective IDS and Intrusion Prevention System (IPS) are necessary to protect IoT systems. Blockchain technology presents another innovative method to strengthen security systems against the latest attacks. This paper focuses on conducting a Systematic Literature Review (SLR) on Blockchain-based Intrusion Detection/Prevention Systems in IoT Networks. We reviewed several relevant blockchain-based IDS and IPS proposed for IoT networks and their mechanisms. The most recent research articles, published between 2017 and 2022, were selected from several databases. Consequently, a comprehensive review of these selected papers sheds light on their techniques, advantages, and drawbacks."
"Smart city and cyber-security; technologies used, leading challenges and future recommendations","Ma, Chen",2021,10.1016/j.egyr.2021.08.124,"Today, some cities around the world have tended to use new technologies and become smart city. New technologies improve the quality of citizens’ life. However, the use of any technology raises new issues and challenges. In a smart city, the vulnerable action of an individual or organization can put the entire city at risk. Due to the reliance of various components of smart cities on information and communication technology, cyber-security challenges (such as information leakage and malicious cyber-attacks) in this field affect smart cities behavior. Therefore, in order to respond to the enthusiastic acceptance of global smart city technologies, cyber security must develop in same direction. The aim of this paper is survey and discus on explanation of cyber security, smart cities, and survey of available relevant literature on security in that technology. For this purpose, the present study focuses on the four main components of a smart city, i.e. smart grid, Smart building, Smart transportation system, and Smart healthcare. In particular, summary of two deep learning method and cyber-security programs as well as technology correlation in smart cities are discussed. Furthermore, effective functional solutions in maintaining cyber-security and user privacy in smart cities are explained. The next progress trends of smart city with cyber security are described. Solutions need to be devised to address each of the security issues. The research in this study showed that meeting these challenges depends on the hard work of governments, developers of equipment and software and companies providing IT security services. In addition, designing flexible systems with high information protection capabilities is essential to prevent serious security incidents as these incidents can lead to disastrous financial, data, credit and loss of public trust."
Dos attack detection using fuzzy temporal deep long {Short}-{Term} memory algorithm in wireless sensor network,"Sathishkumar, P. and Gnanabaskaran, A. and Saradha, M. and Gopinath, R.",2024,10.1016/j.asej.2024.103052,"Wireless sensor networks (WSNs) are becoming more prevalent for data collection and monitoring. Compared to other sensing methods, each sensor node is typically tiny, inexpensive, and simple to implement. Consequently, a wide range of applications and industries utilize WSNs extensively. WSNs, on the other hand, are vulnerable to various security attacks and threats. Because they require more resources (including power, storage, processing power, and bandwidth) to develop defenses, it is necessary to have an efficient Intrusion Detection System (IDS) to detect these attacks and ensure security, even with these constraints. Traditional IDSs are losing effectiveness due to the increasing intelligence, frequency, and sophistication of malicious attacks. One of the most common attacks threatening WSNs is denial of service (DOS). To overcome these challenges, this research work proposes a novel fuzzy model incorporating the Deep Long Short-Term Memory (LSTM) algorithm for intrusion detection in WSNs. The proposed algorithm uses temporal constraints and fuzzy rules for weight fitting in decision-making, as well as neural networks in deep LSTM classifiers. The proposed method consists of (i) a pre-processing stage for preparing the data for further evaluation, (ii) a dynamic feature selection stage to select the most adaptable and efficient features and reduce processing time, and (iii) a detection stage to identify Denial-of-Service (DoS) attacks. It introduces the Crow Search Algorithm (CSA) for feature selection, aimed at optimizing feature efficiency. The Fuzzy Logic with LSTM model introduces a unique methodology where multiple sensor nodes collaboratively train a central global model while protecting private data and addressing privacy concerns effectively. This approach enables the model to detect sophisticated and previously unknown cyber threats by analyzing local and temporal correlations within network patterns, specifically tailored for identifying various types of DoS attacks. The model utilizes specialized KDDCup99 and NSL-KDD datasets. The suggested FL-LSTM approach achieved the highest accuracy (99.58\%), the highest precision (98.42\%), the highest recall (98.45\%), and the highest f-score (98.36\%). Compared to the conventional algorithm, the proposed FL-LSTM outperforms."
Security {Information} {Event} {Management} data acquisition and analysis methods with machine learning principles,"Tendikov, Noyan and Rzayeva, Leila and Saoud, Bilal and Shayea, Ibraheem and Azmi, Marwan Hadri and Myrzatay, Ali and Alnakhli, Mohammad",2024,10.1016/j.rineng.2024.102254,
Performance evaluation of a fast and efficient intrusion detection framework for advanced persistent threat-based cyberattacks,"Park, Na-Eun and Lee, Yu-Rim and Joo, Soyoung and Kim, So-Yeon and Kim, So-Hui and Park, Ju-Young and Kim, Seo-Yi and Lee, Il-Gu",2023,10.1016/j.compeleceng.2022.108548,"After the COVID-19 pandemic, cyberattacks are increasing as non-face-to-face environments such as telecommuting and telemedicine proliferate. Cyberattackers exploit vulnerabilities in remote systems and endpoint devices in major enterprises and infrastructures. To counter these attacks, fast detection and response are essential because advanced persistent threat (APT) attacks intelligently infiltrate endpoint devices for long periods and spread to large-scale environments. However, because conventional security systems are signature-based, fast detection of APT attacks is challenging, and it is difficult to respond flexibly to the environment. In this study, we propose an APT fast detection and response technique using open-source tools that improves the efficiency of existing endpoint information protection systems and swiftly detects the APT attack process. Performance test results based on realistic scenarios using the open-source APT attack library and MITER ATT\&CK indicated that fast detection was possible with higher accuracy for the early stages of APT attacks in scenarios where endpoint attack detectors are interworking environments."
"Ethical hacking for {IoT}: {Security} issues, challenges, solutions and recommendations","Yaacoub, Jean-Paul A. and Noura, Hassan N. and Salman, Ola and Chehab, Ali",2023,10.1016/j.iotcps.2023.04.002,"In recent years, attacks against various Internet-of-Things systems, networks, servers, devices, and applications witnessed a sharp increase, especially with the presence of 35.82 billion IoT devices since 2021; a number that could reach up to 75.44 billion by 2025. As a result, security-related attacks against the IoT domain are expected to increase further and their impact risks to seriously affect the underlying IoT systems, networks, devices, and applications. The adoption of standard security (counter) measures is not always effective, especially with the presence of resource-constrained IoT devices. Hence, there is a need to conduct penetration testing at the level of IoT systems. However, the main issue is the fact that IoT consists of a large variety of IoT devices, ﬁrmware, hardware, software, application/web-servers, networks, and communication protocols. Therefore, to reduce the effect of these attacks on IoT systems, periodic penetration testing and ethical hacking simulations are highly recommended at different levels (end-devices, infrastructure, and users) for IoT, and can be considered as a suitable solution. Therefore, the focus of this paper is to explain, analyze and assess both technical and nontechnical aspects of security vulnerabilities within IoT systems via ethical hacking methods and tools. This would offer practical security solutions that can be adopted based on the assessed risks. This process can be considered as a simulated attack(s) with the goal of identifying any exploitable vulnerability or/and a security gap in any IoT entity (end devices, gateway, or servers) or ﬁrmware."
Big {Data} {Meets} {Social} {Networks}: {A} {Survey} of {Analytical} {Strategies} and {Research} {Challenges},"Singh, Shashank Sheshar and Singh, Shashank and Singh, Kuldeep and Srivastava, Vishal and Shakya, Harish Kumar",2025,10.1109/ACCESS.2025.3576143,"As the big data era transforms the information analysis landscape, social network (SN) analytics has emerged as a critical discipline to understand complex relationships and interactions within enormous social systems. This study aims to provide a comprehensive overview of SN analytics as big data, providing an in-depth exploration of concepts, methods, and applications within this rapidly evolving field. The survey covers a wide range of topics, including methods for pre-processing and cleaning social network data, as well as more advanced analytical approaches such as opinion mining, sentiment analysis, text mining, and natural language processing. It also discusses various big data architectures for SN analytics, like Lambda architecture, Kappa architecture, and GraphX architecture. In addition, it covers issues of scalability, data quality, privacy, and real-time analysis. SN analytics can be useful for researchers from across domains like business and marketing, healthcare and biomedicine, social sciences and psychology, politics and governance, cybersecurity and fraud detection, recommendation systems, crisis management, and disaster response to extract crucial information from vast datasets and formulate domain-specific strategies."
Hybrid {Optimization} {Algorithm} for {Detection} of {Security} {Attacks} in {IoT}-{Enabled} {Cyber}-{Physical} {Systems},"Sagu, Amit and Gill, Nasib Singh and Gulia, Preeti and Priyadarshini, Ishaani and Chatterjee, Jyotir Moy",2025,10.1109/TBDATA.2024.3372368,"The Internet of Things (IoT) is being prominently used in smart cities and a wide range of applications in society. The benefits of IoT are evident, but cyber terrorism and security concerns inhibit many organizations and users from deploying it. Cyber-physical systems that are IoT-enabled might be difficult to secure since security solutions designed for general information/operational technology systems may not work as well in an environment. Thus, deep learning (DL) can assist as a powerful tool for building IoT-enabled cyber-physical systems with automatic anomaly detection. In this paper, two distinct DL models have been employed i.e., Deep Belief Network (DBN) and Convolutional Neural Network (CNN), considered hybrid classifiers, to create a framework for detecting attacks in IoT-enabled cyber-physical systems. However, DL models need to be trained in such a way that will increase their classification accuracy. Therefore, this paper also aims to present a new hybrid optimization algorithm called “Seagull Adapted Elephant Herding Optimization” (SAEHO) to tune the weights of the hybrid classifier. The “Hybrid Classifier + SAEHO” framework takes the feature extracted dataset as an input and classifies the network as either attack or benign. Using sensitivity, precision, accuracy, and specificity, two datasets were compared. In every performance metric, the proposed framework outperforms conventional methods."
Integrating sustainability into cybersecurity: insights from machine learning based topic modeling,"Achuthan, Krishnashree and Sankaran, Sriram and Roy, Swapnoneel and Raman, Raghu",2025,10.1007/s43621-024-00754-w,"The increasing emphasis on sustainability in computing systems, ranging from small devices to large data centers, is fueled by environmental concerns. Moreover, ensuring cybersecurity in these interconnected networks demands the use of technologies such as resource-intensive cryptography and advanced intrusion detection systems. Our unique study investigates the integration of environmental sustainability into cybersecurity practices by identifying six pivotal themes through a textual analysis of related publications via machine learning based topic modeling. These themes highlight the convergence of cybersecurity with sustainable development goals (SDGs), particularly SDGs 7 (Affordable and Clean Energy), 9 (Industry, Innovation, and Infrastructure), and 8 (Decent Work and Economic Growth). These include the integration of sustainable cybersecurity measures in smart cities, sustainable digital protection strategies, the application of blockchain for cybersecurity in smart grids, and cybersecurity solutions for SMEs aimed at minimizing resource consumption. Additionally, the study explores multidisciplinary strategies and innovations across four perspectives: adaptive frameworks that prioritize resilience and environmental consciousness, policy shifts for coordinated protection, the power of AI in intelligent threat detection, and the impact of emerging technologies on both security and environmental efficiency. These strategies advocate for an evolved approach that incorporates advanced technologies such as AI, IoT, and blockchain into resilient, sustainable cybersecurity frameworks. This study not only provides a comprehensive overview of the intersection of cybersecurity and sustainability but also serves as a guide for future research and practical applications in creating robust, environmentally friendly cybersecurity practices."
Optimization of {Network} {Intrusion} {Detection} {Model} {Based} on {Big} {Data} {Analysis},"Shan, Jizhou and Ma, Hong",2024,10.13052/jcsm2245-1439.1366,"As user usage grows, so do security threats to networks, the Internet, websites, and organizations. Detecting intrusions in such a big data situation is complex. A feature-optimized network intrusion detection model based on extensive data analysis is designed to overcome the limitations of current network intrusion detection models and obtain more ideal results. Firstly, the current modeling status of network intrusion detection is studied, and the influence of features on the results of network intrusion detection is analyzed. Then, the feature optimization mathematical model of network intrusion detection is established. The solution of the feature optimization mathematical model is searched by an adaptive genetic algorithm simulating natural biological evolution. The optimal feature subset of intrusion detection is obtained by back coding the optimal solution. Finally, according to the optimal feature subset, the learning sample of network intrusion detection is modeled, and the optimal network intrusion detection model is designed. Using the standard data set of network intrusion detection for simulation and comparison tests, the average accuracy of this paper's network intrusion detection model is about 95\%, while other current network intrusion detection models are below 95\%. Meanwhile, the time of training and the detection of intrusion detection modeling in this model is significantly reduced, and better efficiency of network intrusion detection can be obtained."
A {Survey} of {Cybersecurity} of {Digital} {Manufacturing},"Mahesh, Priyanka and Tiwari, Akash and Jin, Chenglu and Kumar, Panganamala R. and Reddy, A. L. Narasimha and Bukkapatanam, Satish T. S. and Gupta, Nikhil and Karri, Ramesh",2021,10.1109/JPROC.2020.3032074,"The Industry 4.0 concept promotes a digital manufacturing (DM) paradigm that can enhance quality and productivity, which reduces inventory and the lead time for delivering custom, batch-of-one products based on achieving convergence of additive, subtractive, and hybrid manufacturing machines, automation and robotic systems, sensors, computing, and communication networks, artificial intelligence, and big data. A DM system consists of embedded electronics, sensors, actuators, control software, and interconnectivity to enable the machines and the components within them to exchange data with other machines, components therein, the plant operators, the inventory managers, and customers. This article presents the cybersecurity risks in the emerging DM context, assesses the impact on manufacturing, and identifies approaches to secure DM."
A {Comprehensive} {Study} of the {IoT} {Cybersecurity} in {Smart} {Cities},"Andrade, Roberto Omar and Yoo, Sang Guun and Tello-Oquendo, Luis and Ortiz-Garcés, Iván",2020,10.1109/ACCESS.2020.3046442,"Smart cities exploit emerging technologies such as Big Data, the Internet of Things (IoT), Cloud Computing, and Artificial Intelligence (AI) to enhance public services management. The use of IoT allows detecting and reporting specific parameters related to different domains of the city, such as health, waste management, agriculture, transportation, and energy. LoRa technologies, for instance, are used to develop IoT solutions for several smart city domains thanks to its available features, but sometimes people (i.e., citizens, information technology administrators, or city managers) might think that these available features involve cybersecurity risks. This study explores the cybersecurity aspects that define an assessment model of cybersecurity maturity of IoT solutions to develop smart city applications. In that sense, we perform a systematic literature review based on a top-down approach of cybersecurity incident response in IoT ecosystems. Besides, we propose and validate a model based on risk levels to evaluate the IoT cybersecurity maturity in a smart city."
{AI}-{Enabled} {Trust} in {Distributed} {Networks},"Li, Zhiqi and Fang, Weidong and Zhu, Chunsheng and Gao, Zhiwei and Zhang, Wuxiong",2023,10.1109/ACCESS.2023.3306452,"Cybersecurity, as a crucial aspect of the information society, requires significant attention. Fortunately, the concept of trust, originating from the field of sociology, has been under extensive research in order to enhance cybersecurity by evaluating the trustworthiness of nodes with artificial intelligence (AI) techniques in distributed networks (DNs). However, the scalability issues faced by AI-enabled trust hinder its integration with the DNs. Currently, there is a lack of a comprehensive review article that explores the current state of AI-enabled trust development applications. This paper aims to address this gap by providing a review of the state-of-the-art AI-enabled trust in DNs. This review focuses on the concept of trust and how it can be facilitated through AI, particularly utilizing machine learning and deep learning methods. Additionally, the paper provides a comprehensive comparison and analysis of three key domains in the field of AI-enabled trust: trust management (TM), intrusion detection system (IDS), and recommender systems (RS). Some open problems and challenges that currently exist in the field are manifested, and some suggestions for future work are presented."
